supplier_key,supplier_code,supplier_name,contact_person,email,phone,city,province,address,is_active
122,SUP000122,CV CV Saragih Suwarno Global,"Zelda Nurdiyanti, S.Pd",egapudjiastuti@pt.biz.id,+62 (028) 077-4310,Bandung,Jawa Barat,"Jl. S. Parman No. 90, Purwokerto, BE 19559",True
123,SUP000123,PT CV Budiyanto Firmansyah Tbk Wholesale,Dr. Najwa Hardiansyah,zuyainah@perum.mil.id,+62 (0970) 540-4838,Semarang,Jawa Tengah,"Jalan Jend. Sudirman No. 9, Madiun, SB 23033",True
124,SUP000124,PT Perum Wibowo Indonesia,Rafid Salahudin,salwamangunsong@cv.desa.id,+62-665-403-6276,Yogyakarta,DI Yogyakarta,"Gang Asia Afrika No. 10, Tual, DKI Jakarta 38668",True
125,SUP000125,PT Perum Jailani Narpati Tbk Nusantara,"drg. Janet Hariyah, S.Pd",fwinarno@ud.net,+62 (181) 936 5210,Surabaya,Jawa Timur,"Jl. Medokan Ayu No. 3, Banjarmasin, KI 32352",True
126,SUP000126,CV UD Hakim Kusumo Tbk Sejahtera,Melinda Nurdiyanti,jwulandari@pd.go.id,(070) 978-0091,Surabaya,Jawa Timur,"Gang Raya Ujungberung No. 795, Bandar Lampung, SU 47735",True
127,SUP000127,PT PT Zulkarnain Global,"R. Galih Novitasari, M.Ak",yprasetyo@pt.ponpes.id,(032) 603-8031,Makassar,Sulawesi Selatan,"Jalan Astana Anyar No. 7, Lubuklinggau, Kalimantan Barat 15921",True
128,SUP000128,CV CV Puspasari Hastuti Distribution,Zamira Safitri,mitranurdiyanti@cv.go.id,085 374 5210,Surabaya,Jawa Timur,"Gang Rawamangun No. 799, Samarinda, Papua Barat 69488",True
129,SUP000129,PT PT Mayasari Nusantara,"Cut Hafshah Yolanda, M.Pd",smaulana@pd.web.id,+62-087-288-1401,Bekasi,Jawa Barat,"Gang Kebonjati No. 34, Surakarta, SN 39931",True
130,SUP000130,PT CV Wijayanti Puspasari (Persero) Tbk Sejahtera,Narji Haryanto,karya47@cv.gov,+62 (212) 734-2926,Denpasar,Bali,"Jl. Yos Sudarso No. 77, Kupang, YO 78107",True
131,SUP000131,CV PD Pradipta Trading,Banara Puspasari,sinagacahyo@perum.go.id,+62-089-715-0825,Makassar,Sulawesi Selatan,"Jalan Pacuan Kuda No. 2, Banjarbaru, ST 62659",True
132,SUP000132,CV PD Lailasari (Persero) Tbk Nusantara,Himawan Narpati,ihidayanto@pd.mil,+62 (004) 515-9589,Bekasi,Jawa Barat,"Gg. Cikutra Timur No. 175, Palangkaraya, BA 67262",True
133,SUP000133,CV PT Nugroho Tbk Indonesia,Kayun Namaga,agustinapangeran@perum.co.id,+62 (0096) 688 9065,Surabaya,Jawa Timur,"Gg. K.H. Wahid Hasyim No. 0, Pematangsiantar, YO 04085",True
134,SUP000134,CV PT Hutapea Nusantara,"Eka Jailani, S.Pd",nurul88@pt.com,(0664) 854 4516,Bandung,Jawa Barat,"Jalan Bangka Raya No. 394, Bandar Lampung, Sulawesi Barat 08935",True
135,SUP000135,CV UD Astuti Rahimah Indonesia,Usyi Waskita,rahimahmulyono@perum.net.id,0868062440,Medan,Sumatera Utara,"Jalan Rajiman No. 67, Banjar, SG 54536",True
136,SUP000136,PT PD Maryadi Mahendra Tbk Trading,Karman Gunarto,eka69@cv.sch.id,085 458 4633,Jakarta,DKI Jakarta,"Jalan R.E Martadinata No. 06, Sukabumi, YO 27815",True
137,SUP000137,PT PD Mulyani Wholesale,Tina Pratiwi,endra88@perum.edu,089 272 9400,Makassar,Sulawesi Selatan,"Jl. Veteran No. 000, Pekalongan, JK 81257",True
138,SUP000138,CV UD Sinaga (Persero) Tbk Global,"Pia Marpaung, S.Farm",chandraaryani@pt.int,(0741) 300 6152,Bogor,Jawa Barat,"Gang Sukabumi No. 5, Kendari, Jawa Timur 24618",True
139,SUP000139,CV PT Padmasari Prasetyo Tbk Wholesale,"Gasti Budiman, S.Kom",uchitaprasetya@pt.net.id,+62 (0094) 125-0760,Medan,Sumatera Utara,"Jalan Indragiri No. 01, Lhokseumawe, PA 92899",True
140,SUP000140,PT PD Maheswara Wholesale,"drg. Winda Mustofa, S.Psi",etamba@perum.co.id,+62 (21) 574-0177,Surabaya,Jawa Timur,"Gg. Asia Afrika No. 99, Dumai, PA 29847",True
141,SUP000141,PT UD Nababan Iswahyudi Tbk Nusantara,"Kardi Dabukke, S.I.Kom",rmandasari@cv.my.id,+62 (036) 256 1965,Bandung,Jawa Barat,"Jl. Surapati No. 3, Kotamobagu, Nusa Tenggara Barat 90577",True
142,SUP000142,CV CV Novitasari (Persero) Tbk Sejahtera,Zelda Suryono,mahmud14@perum.mil.id,+62 (223) 388 4611,Bandung,Jawa Barat,"Jalan Ahmad Yani No. 90, Bau-Bau, DI Yogyakarta 42278",True
143,SUP000143,CV CV Jailani Mandala Trading,Drs. Estiono Latupono,ddongoran@ud.ponpes.id,0869778310,Makassar,Sulawesi Selatan,"Gg. Medokan Ayu No. 38, Sabang, BB 58442",True
144,SUP000144,PT PT Permadi (Persero) Tbk Distribution,H. Muni Irawan,kartika80@ud.ac.id,0852219011,Makassar,Sulawesi Selatan,"Gang Dr. Djunjunan No. 23, Tasikmalaya, Riau 89764",True
145,SUP000145,CV Perum Wulandari Gunarto Tbk Supply,Genta Nurdiyanti,vivirahayu@ud.ponpes.id,+62 (102) 190-3162,Denpasar,Bali,"Gg. Gedebage Selatan No. 721, Bengkulu, PB 06619",True
146,SUP000146,PT PD Nurdiyanti Sihombing Sejahtera,Zahra Puspita,vsaputra@ud.sch.id,(0684) 669 8446,Jakarta,DKI Jakarta,"Gg. Bangka Raya No. 8, Sawahlunto, BB 33658",True
147,SUP000147,CV CV Nasyidah (Persero) Tbk Retail,Fitriani Kuswoyo,siti55@pd.com,+62-649-167-9761,Medan,Sumatera Utara,"Gang Antapani Lama No. 7, Tual, JB 25229",True
148,SUP000148,PT PD Mulyani Supply,Kasusra Suryatmi,jaemanwaluyo@cv.or.id,(0553) 468 2717,Yogyakarta,DI Yogyakarta,"Jalan BKR No. 8, Samarinda, Jawa Timur 10371",True
149,SUP000149,CV Perum Hidayat Suwarno Mandiri,Raihan Winarsih,paulinmandasari@cv.int,+62-349-898-6895,Bandung,Jawa Barat,"Jalan Kiaracondong No. 44, Sabang, Sulawesi Barat 54644",True
150,SUP000150,PT CV Purwanti Prayoga Indonesia,Darmaji Lailasari,tania77@perum.id,(0378) 510-2039,Jakarta,DKI Jakarta,"Gg. Setiabudhi No. 47, Kota Administrasi Jakarta Utara, Kalimantan Barat 31211",True
