purchase_key,purchase_code,purchase_date_key,supplier_key,employee_key,store_key,payment_key,product_key,quantity,unit_cost,subtotal,discount_percent,discount_amount,tax_percent,tax_amount,total_amount,purchase_status,supplier_invoice_no,expected_delivery_date
4515,PUR004515,20230131,24,44,14,1,486,174,870264,151425936,7,10599815,11,15490873,156316994,Completed,INV-SUP-202301-004515,2023-02-12
4516,PUR004516,20231209,20,228,12,3,689,78,496584,38733552,5,1936677,11,4047656,40844531,Completed,INV-SUP-202312-004516,2023-12-19
4517,PUR004517,20250429,3,132,22,13,934,18,6591700,118650600,9,10678554,11,11876925,119848971,Completed,INV-SUP-202504-004517,2025-05-06
4518,PUR004518,20241017,7,2,20,12,160,34,1654142,56240828,6,3374449,11,5815301,58681680,Completed,INV-SUP-202410-004518,2024-10-23
4519,PUR004519,20261024,17,81,21,8,796,32,1857636,59444352,1,594443,11,6473489,65323398,Completed,INV-SUP-202610-004519,2026-11-03
4520,PUR004520,20251031,27,146,18,12,502,23,8609208,198011784,15,29701767,11,18514101,186824118,Completed,INV-SUP-202510-004520,2025-11-14
4521,PUR004521,20240302,15,39,19,16,809,123,7920,974160,0,0,11,107157,1081317,Completed,INV-SUP-202403-004521,2024-03-14
4522,PUR004522,20260816,22,214,25,14,712,53,549976,29148728,12,3497847,11,2821596,28472477,Completed,INV-SUP-202608-004522,2026-08-21
4523,PUR004523,20251022,69,147,3,12,912,23,4916478,113078994,11,12438689,11,11070433,111710738,Completed,INV-SUP-202510-004523,2025-10-30
4524,PUR004524,20240128,108,278,21,6,190,47,356025,16733175,15,2509976,11,1564551,15787750,Completed,INV-SUP-202401-004524,2024-01-31
4525,PUR004525,20221107,133,261,5,10,6,17,5703992,96967864,14,13575500,11,9173160,92565524,Completed,INV-SUP-202211-004525,2022-11-20
4526,PUR004526,20240524,134,194,4,8,553,70,1346004,94220280,2,1884405,11,10156946,102492821,Completed,INV-SUP-202405-004526,2024-06-05
4527,PUR004527,20220215,53,49,1,18,769,35,10881200,380842000,9,34275780,11,38122284,384688504,Completed,INV-SUP-202202-004527,2022-02-17
4528,PUR004528,20251210,20,82,14,6,38,202,205920,41595840,12,4991500,11,4026477,40630817,Pending,INV-SUP-202512-004528,2025-12-17
4529,PUR004529,20240610,139,198,1,9,607,529,8526,4510254,12,541230,11,436592,4405616,Completed,INV-SUP-202406-004529,2024-06-21
4530,PUR004530,20240610,150,1,18,8,54,99,242055,23963445,0,0,11,2635978,26599423,Completed,INV-SUP-202406-004530,2024-06-19
4531,PUR004531,20231218,56,46,15,11,128,28,2207688,61815264,11,6799679,11,6051714,61067299,Completed,INV-SUP-202312-004531,2023-12-23
4532,PUR004532,20220411,53,8,2,11,293,2,1449420,2898840,3,86965,11,309306,3121181,Completed,INV-SUP-202204-004532,2022-04-13
4533,PUR004533,20250222,14,171,14,4,145,139,324772,45143308,4,1805732,11,4767133,48104709,Completed,INV-SUP-202502-004533,2025-03-08
4534,PUR004534,20240406,111,82,16,9,387,239,239299,57192461,10,5719246,11,5662053,57135268,Completed,INV-SUP-202404-004534,2024-04-16
4535,PUR004535,20250906,116,268,18,7,898,16,5462721,87403536,10,8740353,11,8652950,87316133,Completed,INV-SUP-202509-004535,2025-09-09
4536,PUR004536,20260427,15,209,20,1,392,87,418275,36389925,1,363899,11,3962862,39988888,Completed,INV-SUP-202604-004536,2026-05-04
4537,PUR004537,20260207,5,201,7,1,223,152,352886,53638672,1,536386,11,5841251,58943537,Completed,INV-SUP-202602-004537,2026-02-13
4538,PUR004538,20260831,56,36,13,18,191,28,9127503,255570084,12,30668410,11,24739184,249640858,Completed,INV-SUP-202608-004538,2026-09-06
4539,PUR004539,20230515,109,34,19,2,991,82,308088,25263216,0,0,11,2778953,28042169,Completed,INV-SUP-202305-004539,2023-05-28
4540,PUR004540,20221214,129,180,13,9,639,144,69064,9945216,5,497260,11,1039275,10487231,Cancelled,INV-SUP-202212-004540,2022-12-20
4541,PUR004541,20241023,69,201,18,9,33,3,5832319,17496957,5,874847,11,1828432,18450542,Completed,INV-SUP-202410-004541,2024-10-27
4542,PUR004542,20230721,71,2,24,17,360,68,2638026,179385768,0,0,11,19732434,199118202,Completed,INV-SUP-202307-004542,2023-08-03
4543,PUR004543,20250722,3,138,23,12,728,29,494500,14340500,13,1864265,11,1372385,13848620,Completed,INV-SUP-202507-004543,2025-08-05
4544,PUR004544,20221002,136,274,18,6,226,12,3427400,41128800,9,3701592,11,4116992,41544200,Completed,INV-SUP-202210-004544,2022-10-16
4545,PUR004545,20241103,145,126,10,9,313,125,895720,111965000,11,12316150,11,10961373,110610223,Completed,INV-SUP-202411-004545,2024-11-13
4546,PUR004546,20221004,16,160,25,9,151,68,1096623,74570364,4,2982814,11,7874630,79462180,Completed,INV-SUP-202210-004546,2022-10-16
4547,PUR004547,20260328,141,89,14,14,646,104,313900,32645600,13,4243928,11,3124183,31525855,Completed,INV-SUP-202603-004547,2026-04-07
4548,PUR004548,20221106,85,49,8,6,934,5,6525783,32628915,4,1305156,11,3445613,34769372,Completed,INV-SUP-202211-004548,2022-11-11
4549,PUR004549,20260714,87,273,5,14,719,16,7099915,113598640,5,5679932,11,11871057,119789765,Completed,INV-SUP-202607-004549,2026-07-17
4550,PUR004550,20240825,136,70,14,18,490,100,10100,1010000,12,121200,11,97768,986568,Completed,INV-SUP-202408-004550,2024-09-04
4551,PUR004551,20220929,149,96,15,14,76,130,1366439,177637070,2,3552741,11,19149276,193233605,Completed,INV-SUP-202209-004551,2022-10-03
4552,PUR004552,20250512,78,43,14,11,472,129,122608,15816432,11,1739807,11,1548428,15625053,Completed,INV-SUP-202505-004552,2025-05-17
4553,PUR004553,20231118,46,35,25,5,448,103,684723,70526469,0,0,11,7757911,78284380,Completed,INV-SUP-202311-004553,2023-11-23
4554,PUR004554,20230912,126,21,18,1,787,242,104174,25210108,8,2016808,11,2551263,25744563,Completed,INV-SUP-202309-004554,2023-09-25
4555,PUR004555,20241019,73,240,1,14,738,28,7271800,203610400,0,0,11,22397144,226007544,Completed,INV-SUP-202410-004555,2024-10-30
4556,PUR004556,20240304,140,44,12,1,127,5,11015532,55077660,1,550776,11,5997957,60524841,Completed,INV-SUP-202403-004556,2024-03-09
4557,PUR004557,20250129,104,97,9,9,341,9,960840,8647560,0,0,11,951231,9598791,Completed,INV-SUP-202501-004557,2025-02-11
4558,PUR004558,20220223,86,58,18,9,720,99,87414,8653986,8,692318,0,0,7961668,Completed,INV-SUP-202202-004558,2022-02-28
4559,PUR004559,20240413,129,40,3,13,82,9,10696752,96270768,1,962707,11,10483886,105791947,Completed,INV-SUP-202404-004559,2024-04-19
4560,PUR004560,20230109,116,178,16,17,130,51,11880,605880,1,6058,11,65980,665802,Completed,INV-SUP-202301-004560,2023-01-15
4561,PUR004561,20231027,145,124,2,18,85,74,1656788,122602312,3,3678069,11,13081666,132005909,Completed,INV-SUP-202310-004561,2023-11-05
4562,PUR004562,20230404,66,259,20,17,442,16,17537058,280592928,8,22447434,11,28396004,286541498,Completed,INV-SUP-202304-004562,2023-04-17
4563,PUR004563,20240629,55,14,15,6,706,24,2380089,57122136,14,7997099,11,5403754,54528791,Completed,INV-SUP-202406-004563,2024-07-08
4564,PUR004564,20230702,148,239,3,18,515,64,132613,8487232,7,594106,11,868243,8761369,Pending,INV-SUP-202307-004564,2023-07-07
4565,PUR004565,20240316,46,119,10,15,768,118,36764,4338152,13,563959,11,415161,4189354,Completed,INV-SUP-202403-004565,2024-03-22
4566,PUR004566,20230123,17,296,14,8,23,67,158103,10592901,2,211858,11,1141914,11522957,Completed,INV-SUP-202301-004566,2023-02-04
4567,PUR004567,20231210,38,227,3,12,530,216,1315104,284062464,9,25565621,11,28434652,286931495,Pending,INV-SUP-202312-004567,2023-12-24
4568,PUR004568,20241226,50,167,21,15,133,17,14675518,249483806,1,2494838,11,27168786,274157754,Completed,INV-SUP-202412-004568,2025-01-01
4569,PUR004569,20220329,27,250,8,7,680,116,1099700,127565200,12,15307824,11,12348311,124605687,Completed,INV-SUP-202203-004569,2022-04-01
4570,PUR004570,20230308,85,111,10,4,65,90,389355,35041950,15,5256292,11,3276422,33062080,Completed,INV-SUP-202303-004570,2023-03-11
4571,PUR004571,20260107,108,71,2,1,878,78,3491166,272310948,3,8169328,11,29055578,293197198,Pending,INV-SUP-202601-004571,2026-01-13
4572,PUR004572,20230104,99,164,10,1,664,20,4059353,81187060,2,1623741,11,8751965,88315284,Completed,INV-SUP-202301-004572,2023-01-14
4573,PUR004573,20260526,147,134,1,15,636,70,436050,30523500,5,1526175,11,3189705,32187030,Completed,INV-SUP-202605-004573,2026-06-02
4574,PUR004574,20221107,111,137,19,14,395,185,96960,17937600,2,358752,11,1933673,19512521,Completed,INV-SUP-202211-004574,2022-11-16
4575,PUR004575,20230502,142,12,14,11,156,19,4966351,94360669,5,4718033,11,9860689,99503325,Completed,INV-SUP-202305-004575,2023-05-04
4576,PUR004576,20220105,45,175,3,6,481,127,502425,63807975,6,3828478,11,6597744,66577241,Completed,INV-SUP-202201-004576,2022-01-16
4577,PUR004577,20240424,11,11,12,17,999,18,1133352,20400336,10,2040033,11,2019633,20379936,Completed,INV-SUP-202404-004577,2024-04-29
4578,PUR004578,20220827,133,287,16,3,676,7,4972422,34806954,5,1740347,11,3637326,36703933,Completed,INV-SUP-202208-004578,2022-09-07
4579,PUR004579,20260113,150,53,20,13,834,178,88880,15820640,4,632825,0,0,15187815,Completed,INV-SUP-202601-004579,2026-01-23
4580,PUR004580,20240418,16,55,21,13,77,106,212624,22538144,12,2704577,11,2181692,22015259,Completed,INV-SUP-202404-004580,2024-04-24
4581,PUR004581,20230215,67,57,4,11,714,8,5872581,46980648,13,6107484,11,4496048,45369212,Completed,INV-SUP-202302-004581,2023-02-22
4582,PUR004582,20220412,141,195,8,12,521,24,8413776,201930624,13,26250981,11,19324760,195004403,Pending,INV-SUP-202204-004582,2022-04-24
4583,PUR004583,20221219,116,129,10,17,364,18,4280784,77054112,12,9246493,11,7458838,75266457,Completed,INV-SUP-202212-004583,2022-12-23
4584,PUR004584,20260122,17,95,21,14,954,18,11850258,213304644,0,0,11,23463510,236768154,Completed,INV-SUP-202601-004584,2026-01-26
4585,PUR004585,20220309,27,10,20,1,793,18,4604994,82889892,1,828898,11,9026709,91087703,Completed,INV-SUP-202203-004585,2022-03-13
4586,PUR004586,20240115,97,57,8,4,200,30,4620825,138624750,11,15248722,11,13571363,136947391,Completed,INV-SUP-202401-004586,2024-01-21
4587,PUR004587,20230827,44,125,5,16,632,127,40376,5127752,9,461497,11,513288,5179543,Completed,INV-SUP-202308-004587,2023-09-05
4588,PUR004588,20221227,140,56,25,11,516,9,746600,6719400,11,739134,11,657829,6638095,Completed,INV-SUP-202212-004588,2023-01-06
4589,PUR004589,20261026,121,31,14,11,366,10,2214800,22148000,4,885920,11,2338828,23600908,Completed,INV-SUP-202610-004589,2026-10-30
4590,PUR004590,20240728,82,278,19,2,173,53,3257856,172666368,9,15539973,11,17283903,174410298,Completed,INV-SUP-202407-004590,2024-08-01
4591,PUR004591,20230408,74,296,13,2,540,39,1046789,40824771,5,2041238,11,4266188,43049721,Completed,INV-SUP-202304-004591,2023-04-17
4592,PUR004592,20220519,62,93,12,12,359,18,3275709,58962762,9,5306648,11,5902172,59558286,Completed,INV-SUP-202205-004592,2022-05-22
4593,PUR004593,20220922,39,24,12,16,800,35,9465192,331281720,9,29815354,11,33161300,334627666,Completed,INV-SUP-202209-004593,2022-10-01
4594,PUR004594,20241127,146,171,8,8,457,395,25480,10064600,4,402584,0,0,9662016,Completed,INV-SUP-202411-004594,2024-12-09
4595,PUR004595,20250627,94,1,22,5,256,4,20269800,81079200,5,4053960,11,8472776,85498016,Completed,INV-SUP-202506-004595,2025-07-11
4596,PUR004596,20251215,68,7,25,9,899,253,14065,3558445,6,213506,11,367943,3712882,Completed,INV-SUP-202512-004596,2025-12-18
4597,PUR004597,20230530,63,66,7,8,338,148,114654,16968792,11,1866567,0,0,15102225,Completed,INV-SUP-202305-004597,2023-06-04
4598,PUR004598,20230508,110,74,16,8,396,242,192095,46486990,12,5578438,11,4499940,45408492,Completed,INV-SUP-202305-004598,2023-05-19
4599,PUR004599,20260301,108,68,4,14,585,28,2206466,61781048,6,3706862,11,6388160,64462346,Pending,INV-SUP-202603-004599,2026-03-04
4600,PUR004600,20231129,57,251,13,5,545,65,922180,59941700,1,599417,11,6527651,65869934,Completed,INV-SUP-202311-004600,2023-12-11
4601,PUR004601,20250918,17,89,9,4,67,194,597861,115985034,12,13918204,11,11227351,113294181,Completed,INV-SUP-202509-004601,2025-10-01
4602,PUR004602,20230226,85,100,16,13,547,39,2708000,105612000,5,5280600,11,11036454,111367854,Completed,INV-SUP-202302-004602,2023-03-12
4603,PUR004603,20241102,93,185,14,15,886,6,455005,2730030,1,27300,11,297300,3000030,Completed,INV-SUP-202411-004603,2024-11-15
4604,PUR004604,20230410,99,206,24,13,85,94,1724412,162094728,9,14588525,11,16225682,163731885,Pending,INV-SUP-202304-004604,2023-04-18
4605,PUR004605,20261023,25,27,11,4,14,114,296010,33745140,5,1687257,11,3526367,35584250,Pending,INV-SUP-202610-004605,2026-11-06
4606,PUR004606,20230212,133,251,7,2,765,64,1143918,73210752,0,0,11,8053182,81263934,Completed,INV-SUP-202302-004606,2023-02-15
4607,PUR004607,20240604,2,148,20,13,19,68,148104,10071072,13,1309239,11,963801,9725634,Completed,INV-SUP-202406-004607,2024-06-07
4608,PUR004608,20250113,48,201,21,11,201,23,7729944,177788712,0,0,11,19556758,197345470,Completed,INV-SUP-202501-004608,2025-01-17
4609,PUR004609,20221109,122,231,1,13,616,86,309565,26622590,7,1863581,11,2723490,27482499,Completed,INV-SUP-202211-004609,2022-11-15
4610,PUR004610,20250409,47,78,21,3,108,69,363874,25107306,5,1255365,11,2623713,26475654,Completed,INV-SUP-202504-004610,2025-04-19
4611,PUR004611,20251014,9,283,19,15,290,200,7029,1405800,12,168696,0,0,1237104,Completed,INV-SUP-202510-004611,2025-10-25
4612,PUR004612,20220609,30,165,12,9,625,368,1257830,462881440,15,69432216,11,43279414,436728638,Completed,INV-SUP-202206-004612,2022-06-19
4613,PUR004613,20260628,4,252,22,7,562,107,1089360,116561520,10,11656152,11,11539590,116444958,Pending,INV-SUP-202606-004613,2026-07-06
4614,PUR004614,20261113,55,40,12,14,592,290,14553,4220370,8,337629,0,0,3882741,Completed,INV-SUP-202611-004614,2026-11-17
4615,PUR004615,20220605,83,191,7,11,742,71,2782348,197546708,9,17779203,11,19774425,199541930,Completed,INV-SUP-202206-004615,2022-06-17
4616,PUR004616,20251201,105,38,1,3,93,31,7697400,238619400,10,23861940,11,23623320,238380780,Completed,INV-SUP-202512-004616,2025-12-05
4617,PUR004617,20221219,40,141,5,17,697,8,5537600,44300800,3,1329024,11,4726895,47698671,Completed,INV-SUP-202212-004617,2023-01-01
4618,PUR004618,20260502,12,130,6,14,856,161,229000,36869000,14,5161660,11,3487807,35195147,Completed,INV-SUP-202605-004618,2026-05-14
4619,PUR004619,20250108,66,194,25,6,944,38,387198,14713524,7,1029946,11,1505193,15188771,Completed,INV-SUP-202501-004619,2025-01-19
4620,PUR004620,20250525,91,169,22,14,495,20,761656,15233120,12,1827974,11,1474566,14879712,Completed,INV-SUP-202505-004620,2025-06-06
4621,PUR004621,20220201,99,148,20,18,188,22,2505002,55110044,10,5511004,11,5455894,55054934,Pending,INV-SUP-202202-004621,2022-02-08
4622,PUR004622,20230417,103,40,17,6,394,87,3042300,264680100,10,26468010,11,26203329,264415419,Completed,INV-SUP-202304-004622,2023-04-27
4623,PUR004623,20240507,39,240,1,2,868,23,9597690,220746870,3,6622406,11,23553691,237678155,Completed,INV-SUP-202405-004623,2024-05-11
4624,PUR004624,20250621,70,290,9,12,650,128,425412,54452736,14,7623383,11,5151228,51980581,Completed,INV-SUP-202506-004624,2025-06-30
4625,PUR004625,20230117,122,7,1,12,119,228,10197,2324916,4,92996,11,245511,2477431,Completed,INV-SUP-202301-004625,2023-01-21
4626,PUR004626,20250111,75,228,20,5,540,108,1036626,111955608,0,0,11,12315116,124270724,Completed,INV-SUP-202501-004626,2025-01-19
4627,PUR004627,20231112,15,116,17,7,317,99,94031,9309069,13,1210178,11,890878,8989769,Completed,INV-SUP-202311-004627,2023-11-24
4628,PUR004628,20220903,116,143,13,8,90,101,127806,12908406,12,1549008,0,0,11359398,Completed,INV-SUP-202209-004628,2022-09-06
4629,PUR004629,20240106,118,73,7,15,263,23,2409066,55408518,0,0,11,6094936,61503454,Completed,INV-SUP-202401-004629,2024-01-16
4630,PUR004630,20240205,82,35,6,10,189,383,83527,31990841,13,4158809,0,0,27832032,Completed,INV-SUP-202402-004630,2024-02-11
4631,PUR004631,20250731,79,282,11,13,566,56,842787,47196072,13,6135489,11,4516664,45577247,Completed,INV-SUP-202507-004631,2025-08-13
4632,PUR004632,20230902,51,191,23,12,317,60,94031,5641860,8,451348,11,570956,5761468,Completed,INV-SUP-202309-004632,2023-09-06
4633,PUR004633,20241205,137,221,2,2,963,19,19663182,373600458,6,22416027,11,38630287,389814718,Pending,INV-SUP-202412-004633,2024-12-11
4634,PUR004634,20240727,93,211,5,2,657,140,348036,48725040,11,5359754,11,4770181,48135467,Completed,INV-SUP-202407-004634,2024-08-01
4635,PUR004635,20260221,40,249,5,16,993,179,39000,6981000,12,837720,0,0,6143280,Completed,INV-SUP-202602-004635,2026-02-28
4636,PUR004636,20250915,125,156,7,11,914,60,1442364,86541840,10,8654184,11,8567642,86455298,Completed,INV-SUP-202509-004636,2025-09-17
4637,PUR004637,20240627,79,118,11,13,832,25,5480650,137016250,11,15071787,11,13413890,135358353,Completed,INV-SUP-202406-004637,2024-07-01
4638,PUR004638,20231222,111,177,1,2,404,142,1093158,155228436,1,1552284,11,16904376,170580528,Completed,INV-SUP-202312-004638,2024-01-05
4639,PUR004639,20260904,121,202,5,1,139,41,2210373,90625293,12,10875035,11,8772528,88522786,Completed,INV-SUP-202609-004639,2026-09-08
4640,PUR004640,20251202,59,111,6,10,843,440,173362,76279280,5,3813964,11,7971184,80436500,Completed,INV-SUP-202512-004640,2025-12-08
4641,PUR004641,20261210,35,226,13,5,75,95,22927,2178065,5,108903,0,0,2069162,Pending,INV-SUP-202612-004641,2026-12-16
4642,PUR004642,20250627,16,143,3,11,632,159,38808,6170472,8,493637,11,624451,6301286,Completed,INV-SUP-202506-004642,2025-06-29
4643,PUR004643,20260511,26,72,12,5,371,7,3330900,23316300,4,932652,11,2462201,24845849,Completed,INV-SUP-202605-004643,2026-05-18
4644,PUR004644,20231126,88,293,22,4,565,52,500616,26032032,1,260320,11,2834888,28606600,Completed,INV-SUP-202311-004644,2023-12-07
4645,PUR004645,20240514,68,103,25,1,385,69,4246011,292974759,13,38086718,11,28037684,282925725,Completed,INV-SUP-202405-004645,2024-05-17
4646,PUR004646,20251117,52,175,13,11,435,33,470220,15517260,13,2017243,11,1485001,14985018,Pending,INV-SUP-202511-004646,2025-12-01
4647,PUR004647,20221123,106,294,13,18,760,33,225900,7454700,8,596376,11,754415,7612739,Pending,INV-SUP-202211-004647,2022-12-06
4648,PUR004648,20260510,7,242,4,6,522,143,346188,49504884,9,4455439,11,4955438,50004883,Completed,INV-SUP-202605-004648,2026-05-23
4649,PUR004649,20260704,57,211,5,14,311,136,894168,121606848,12,14592821,11,11771542,118785569,Completed,INV-SUP-202607-004649,2026-07-12
4650,PUR004650,20220604,12,226,6,18,379,244,44642,10892648,13,1416044,11,1042426,10519030,Completed,INV-SUP-202206-004650,2022-06-16
4651,PUR004651,20250412,1,210,4,18,586,18,4972473,89504514,0,0,11,9845496,99350010,Completed,INV-SUP-202504-004651,2025-04-22
4652,PUR004652,20261022,119,54,10,3,644,168,142982,24020976,8,1921678,11,2430922,24530220,Completed,INV-SUP-202610-004652,2026-10-28
4653,PUR004653,20260430,23,6,1,2,713,195,489345,95422275,2,1908445,11,10286521,103800351,Completed,INV-SUP-202604-004653,2026-05-11
4654,PUR004654,20250505,106,187,1,15,595,415,32960,13678400,7,957488,11,1399300,14120212,Completed,INV-SUP-202505-004654,2025-05-14
4655,PUR004655,20240131,76,271,5,11,349,255,52600,13413000,0,0,11,1475430,14888430,Completed,INV-SUP-202401-004655,2024-02-07
4656,PUR004656,20240820,52,127,15,10,621,115,76032,8743680,13,1136678,0,0,7607002,Completed,INV-SUP-202408-004656,2024-08-30
4657,PUR004657,20260621,87,135,21,4,993,104,40170,4177680,15,626652,0,0,3551028,Completed,INV-SUP-202606-004657,2026-06-26
4658,PUR004658,20240605,143,188,23,1,980,18,628826,11318868,13,1471452,11,1083215,10930631,Completed,INV-SUP-202406-004658,2024-06-13
4659,PUR004659,20230802,43,28,5,17,298,71,96594,6858174,15,1028726,11,641239,6470687,Completed,INV-SUP-202308-004659,2023-08-06
4660,PUR004660,20250803,60,250,7,18,243,88,1674984,147398592,6,8843915,11,15241014,153795691,Completed,INV-SUP-202508-004660,2025-08-17
4661,PUR004661,20220117,146,248,21,17,145,127,324772,41246044,4,1649841,11,4355582,43951785,Pending,INV-SUP-202201-004661,2022-01-28
4662,PUR004662,20230805,98,294,7,1,843,96,178669,17152224,12,2058266,11,1660335,16754293,Completed,INV-SUP-202308-004662,2023-08-10
4663,PUR004663,20240205,130,53,16,3,800,16,9752016,156032256,8,12482580,11,15790464,159340140,Completed,INV-SUP-202402-004663,2024-02-19
4664,PUR004664,20260316,146,270,24,5,624,72,2551700,183722400,5,9186120,11,19198990,193735270,Completed,INV-SUP-202603-004664,2026-03-19
4665,PUR004665,20250410,98,107,11,13,555,27,5113641,138068307,4,5522732,11,14580013,147125588,Completed,INV-SUP-202504-004665,2025-04-14
4666,PUR004666,20261228,44,276,14,16,489,354,29792,10546368,11,1160100,11,1032489,10418757,Pending,INV-SUP-202612-004666,2027-01-10
4667,PUR004667,20251028,105,271,16,6,203,164,376263,61707132,2,1234142,11,6652028,67125018,Pending,INV-SUP-202510-004667,2025-11-06
4668,PUR004668,20240608,42,114,12,6,481,40,512575,20503000,6,1230180,11,2120010,21392830,Completed,INV-SUP-202406-004668,2024-06-16
4669,PUR004669,20230331,60,212,22,1,555,11,5113641,56250051,9,5062504,11,5630630,56818177,Completed,INV-SUP-202303-004669,2023-04-13
4670,PUR004670,20220705,145,284,18,11,561,227,183237,41594799,12,4991375,11,4026376,40629800,Pending,INV-SUP-202207-004670,2022-07-08
4671,PUR004671,20230701,92,64,7,11,600,32,129280,4136960,6,248217,0,0,3888743,Completed,INV-SUP-202307-004671,2023-07-07
4672,PUR004672,20231208,145,1,16,11,378,28,2567100,71878800,9,6469092,11,7195067,72604775,Completed,INV-SUP-202312-004672,2023-12-20
4673,PUR004673,20220724,77,127,4,14,429,12,1118272,13419264,5,670963,11,1402313,14150614,Completed,INV-SUP-202207-004673,2022-08-02
4674,PUR004674,20250802,63,203,13,2,513,36,4799100,172767600,8,13821408,11,17484081,176430273,Completed,INV-SUP-202508-004674,2025-08-11
4675,PUR004675,20240916,121,297,4,18,467,414,1061200,439336800,11,48327048,11,43011072,434020824,Completed,INV-SUP-202409-004675,2024-09-18
4676,PUR004676,20230315,47,251,20,11,388,23,10970418,252319614,14,35324745,11,23869435,240864304,Completed,INV-SUP-202303-004676,2023-03-24
4677,PUR004677,20241112,42,200,22,6,927,11,7418664,81605304,1,816053,11,8886817,89676068,Completed,INV-SUP-202411-004677,2024-11-21
4678,PUR004678,20230515,105,54,24,1,816,576,32640,18800640,7,1316044,11,1923305,19407901,Completed,INV-SUP-202305-004678,2023-05-22
4679,PUR004679,20220830,66,78,24,18,140,31,302430,9375330,0,0,11,1031286,10406616,Completed,INV-SUP-202208-004679,2022-09-07
4680,PUR004680,20220107,19,26,16,6,276,415,823038,341560770,0,0,11,37571684,379132454,Pending,INV-SUP-202201-004680,2022-01-13
4681,PUR004681,20220816,37,258,21,5,411,120,225918,27110160,4,1084406,11,2862832,28888586,Completed,INV-SUP-202208-004681,2022-08-26
4682,PUR004682,20240123,99,236,7,7,177,62,956835,59323770,1,593237,11,6460358,65190891,Completed,INV-SUP-202401-004682,2024-01-26
4683,PUR004683,20240614,73,43,12,5,441,52,12637800,657165600,10,65716560,11,65059394,656508434,Completed,INV-SUP-202406-004683,2024-06-26
4684,PUR004684,20220918,27,198,2,4,175,14,6108076,85513064,13,11116698,11,8183600,82579966,Completed,INV-SUP-202209-004684,2022-09-21
4685,PUR004685,20240125,118,163,12,18,688,126,261186,32909436,8,2632754,11,3330435,33607117,Completed,INV-SUP-202401-004685,2024-02-04
4686,PUR004686,20260506,133,153,8,3,163,131,10506,1376286,10,137628,11,136252,1374910,Completed,INV-SUP-202605-004686,2026-05-15
4687,PUR004687,20260618,46,24,6,15,771,6,471808,2830848,11,311393,11,277140,2796595,Completed,INV-SUP-202606-004687,2026-06-24
4688,PUR004688,20240129,53,145,22,12,895,176,885770,155895520,0,0,11,17148507,173044027,Pending,INV-SUP-202401-004688,2024-02-01
4689,PUR004689,20260908,118,259,2,8,372,11,2846606,31312666,8,2505013,11,3168841,31976494,Completed,INV-SUP-202609-004689,2026-09-12
4690,PUR004690,20230702,147,268,9,12,913,144,2072696,298468224,12,35816186,11,28891724,291543762,Completed,INV-SUP-202307-004690,2023-07-14
4691,PUR004691,20240225,79,92,12,2,837,157,301283,47301431,2,946028,11,5099094,51454497,Completed,INV-SUP-202402-004691,2024-02-29
4692,PUR004692,20250211,147,281,3,16,515,45,129987,5849415,11,643435,11,572657,5778637,Completed,INV-SUP-202502-004692,2025-02-20
4693,PUR004693,20260110,96,143,5,18,764,32,150136,4804352,15,720652,11,449207,4532907,Completed,INV-SUP-202601-004693,2026-01-14
4694,PUR004694,20261115,13,237,1,9,182,65,258800,16822000,2,336440,11,1813411,18298971,Completed,INV-SUP-202611-004694,2026-11-19
4695,PUR004695,20220221,1,82,6,10,822,145,1113738,161492010,6,9689520,11,16698273,168500763,Completed,INV-SUP-202202-004695,2022-02-26
4696,PUR004696,20260119,71,113,16,16,782,136,233442,31748112,9,2857330,11,3177986,32068768,Completed,INV-SUP-202601-004696,2026-01-27
4697,PUR004697,20220514,133,11,21,5,246,459,24156,11087604,5,554380,11,1158654,11691878,Completed,INV-SUP-202205-004697,2022-05-23
4698,PUR004698,20240809,94,56,9,3,461,3,8879094,26637282,10,2663728,11,2637090,26610644,Completed,INV-SUP-202408-004698,2024-08-18
4699,PUR004699,20240810,81,263,2,16,444,46,2615500,120313000,15,18046950,11,11249265,113515315,Completed,INV-SUP-202408-004699,2024-08-15
4700,PUR004700,20230623,34,171,23,2,631,69,1766352,121878288,13,15844177,11,11663752,117697863,Completed,INV-SUP-202306-004700,2023-06-26
4701,PUR004701,20250127,6,171,14,1,992,28,33229,930412,8,74432,0,0,855980,Completed,INV-SUP-202501-004701,2025-01-29
4702,PUR004702,20220924,30,131,23,5,976,158,248359,39240722,2,784814,11,4230149,42686057,Completed,INV-SUP-202209-004702,2022-09-29
4703,PUR004703,20251220,31,127,16,5,285,30,3574996,107249880,13,13942484,11,10263813,103571209,Completed,INV-SUP-202512-004703,2025-12-30
4704,PUR004704,20250627,61,279,16,12,659,31,2861855,88717505,9,7984575,11,8880622,89613552,Completed,INV-SUP-202506-004704,2025-07-01
4705,PUR004705,20250411,82,165,3,4,985,73,693396,50617908,8,4049432,11,5122532,51691008,Completed,INV-SUP-202504-004705,2025-04-15
4706,PUR004706,20220824,104,63,3,14,402,105,222583,23371215,13,3038257,11,2236625,22569583,Completed,INV-SUP-202208-004706,2022-08-26
4707,PUR004707,20261023,50,118,7,14,345,143,63050,9016150,2,180323,0,0,8835827,Pending,INV-SUP-202610-004707,2026-10-29
